
2025/03/11 (05:56:12) | ===> btop++ v.1.4.0
2025/03/11 (05:56:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/11 (06:12:11) | WARNING: Failed to join _runner thread on exit!

2025/03/11 (09:16:18) | ===> btop++ v.1.4.0
2025/03/11 (09:16:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (12:20:07) | ===> btop++ v.1.4.0
2025/03/11 (12:20:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (12:23:01) | ===> btop++ v.1.4.0
2025/03/11 (12:23:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (12:26:02) | ===> btop++ v.1.4.0
2025/03/11 (12:26:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (12:26:11) | ===> btop++ v.1.4.0
2025/03/11 (12:26:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (09:22:20) | ===> btop++ v.1.4.0
2025/03/12 (09:22:20) | WARNING: Intel GPU: Failed to initialize PMU
